1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
0.003364,0.000583,-0.000056,-0.000114,-0.000002,-0.000268,0.000025,-0.000153,0.028610,0.020398,0.017516,0.016987,0.017979,0.016631,0.005107,0.009427
-0.002333,0.000256,0.000320,0.000109,0.000078,-0.000018,-0.000021,-0.000079,0.033256,0.023247,0.015264,0.017250,0.013657,0.012704,0.005971,0.008077
0.001700,0.000420,0.000320,-0.000239,-0.000112,-0.000490,0.000020,-0.000427,0.028560,0.020479,0.017973,0.020391,0.016666,0.015257,0.006000,0.010654
-0.003454,-0.001596,0.000461,-0.000156,0.000040,0.000300,0.000030,0.000214,0.033463,0.019885,0.020157,0.016866,0.019830,0.012680,0.005168,0.011668
0.003092,-0.000871,-0.000949,-0.000182,-0.000397,-0.000148,-0.000004,0.000250,0.031588,0.018845,0.024591,0.017465,0.019295,0.017714,0.005566,0.012880
-0.002550,0.000530,0.000508,0.000092,0.000145,0.000151,-0.000021,0.000421,0.027425,0.019393,0.019431,0.017674,0.019776,0.019006,0.004912,0.011465
-0.005443,0.001025,-0.000184,-0.000003,0.000004,0.000022,0.000015,-0.000073,0.027906,0.018899,0.018029,0.015646,0.020202,0.017981,0.006479,0.007910
0.001175,-0.002483,0.000393,-0.000345,0.000013,0.000122,0.000005,-0.000122,0.030108,0.024485,0.022478,0.016336,0.017292,0.017959,0.005696,0.008821
0.001881,-0.000844,0.001533,-0.000781,-0.000163,-0.000272,0.000015,0.000452,0.028230,0.019282,0.023805,0.020291,0.018872,0.017431,0.005355,0.013211
0.001175,-0.000052,-0.000076,-0.000241,-0.000135,0.000013,0.000004,-0.000330,0.026428,0.016120,0.022465,0.017451,0.019557,0.018057,0.004661,0.010513
-0.001067,-0.002086,-0.000044,-0.000194,-0.000131,-0.000346,-0.000016,-0.000018,0.025915,0.024382,0.016015,0.013858,0.017762,0.017102,0.006511,0.009265
-0.004575,0.000695,0.000569,0.000200,0.000169,0.000177,-0.000002,0.000208,0.031978,0.020709,0.018571,0.015129,0.018116,0.012830,0.005344,0.009283
-0.000289,-0.000137,-0.000274,-0.000287,-0.000301,-0.000552,-0.000021,-0.000049,0.028171,0.020003,0.017514,0.016673,0.019936,0.014814,0.005924,0.008558
-0.000868,-0.001002,0.001083,0.000213,0.000054,-0.000040,-0.000037,0.000037,0.025192,0.019180,0.024140,0.017641,0.011536,0.016289,0.007203,0.009036
0.002025,0.000999,0.000100,-0.000096,0.000181,-0.000363,0.000026,-0.000281,0.024115,0.020857,0.018895,0.014914,0.012557,0.016901,0.004892,0.010442
0.000543,0.000376,-0.000379,0.000089,-0.000159,-0.000076,0.000006,-0.000159,0.030959,0.018574,0.022023,0.017544,0.015822,0.018474,0.006044,0.008052
0.000506,0.001201,-0.000284,0.000368,-0.000196,0.000210,-0.000010,0.000354,0.030555,0.019159,0.018580,0.018033,0.017228,0.015517,0.005457,0.010834
-0.003545,-0.000648,0.000261,-0.000254,-0.000119,-0.000171,0.000041,0.000269,0.027623,0.025760,0.018374,0.016528,0.016916,0.017493,0.005446,0.013501
0.001935,0.002134,0.000640,-0.000182,-0.000197,0.000033,0.000024,0.000281,0.029269,0.024681,0.023727,0.017946,0.016892,0.012966,0.005147,0.010442
0.003924,0.000246,0.000029,-0.000189,-0.000150,-0.000089,0.000005,0.000037,0.033815,0.019530,0.017228,0.016895,0.018490,0.012496,0.004390,0.009285
-0.000669,-0.000809,0.000360,-0.000294,-0.000056,-0.000287,0.000012,0.000146,0.033769,0.022830,0.019373,0.018606,0.012459,0.015579,0.005615,0.009843
-0.000145,0.000602,-0.000955,-0.000480,-0.000580,-0.000253,-0.000013,0.000189,0.032040,0.017905,0.021189,0.018614,0.021791,0.019245,0.005322,0.010352
-0.001103,-0.000654,-0.000179,-0.000055,0.000011,-0.000167,0.000012,0.000348,0.029657,0.019332,0.017622,0.017922,0.018895,0.017730,0.005326,0.008484
-0.004141,0.000746,-0.000111,0.000401,0.000275,0.000089,0.000000,0.000336,0.036430,0.023532,0.020437,0.018660,0.015204,0.012574,0.005088,0.007781
-0.000633,0.000338,0.000200,-0.000084,0.000170,0.000253,0.000005,0.000226,0.027822,0.019254,0.018979,0.018037,0.014539,0.011686,0.005363,0.010995
-0.000579,0.000891,-0.000545,-0.000296,0.000106,0.000152,-0.000010,0.000360,0.031823,0.026509,0.017993,0.018471,0.017527,0.018049,0.006998,0.010781
-0.001628,-0.002046,-0.000292,0.000055,0.000203,-0.000081,0.000001,0.000275,0.028206,0.023925,0.023833,0.018145,0.019578,0.018593,0.005909,0.007585
-0.000344,-0.000604,0.000163,-0.000134,0.000185,0.000328,-0.000012,0.000153,0.026151,0.019294,0.017361,0.018243,0.020422,0.017624,0.006175,0.011270
-0.001284,0.000641,0.000092,0.000043,0.000318,0.000090,0.000062,-0.000079,0.029991,0.018960,0.017326,0.018071,0.019345,0.010971,0.007016,0.011865
0.000344,-0.001052,-0.000136,0.000087,0.000216,0.000188,0.000003,0.000000,0.026367,0.024959,0.015824,0.017751,0.018322,0.011258,0.004885,0.008993
0.002098,0.000200,-0.000391,-0.000446,-0.000141,-0.000453,0.000014,-0.000110,0.028888,0.024120,0.016736,0.017385,0.016941,0.018304,0.005931,0.009997
0.001393,-0.000120,-0.000673,-0.000077,-0.000500,0.000019,-0.000013,0.000146,0.024370,0.024522,0.022500,0.016957,0.019598,0.014249,0.004746,0.009366
0.001935,0.000116,0.000873,0.000009,-0.000003,0.000118,0.000009,-0.000049,0.025645,0.023639,0.023191,0.015903,0.012082,0.015696,0.004632,0.010187
0.001266,0.000399,0.000516,0.000408,0.000186,0.000841,-0.000008,-0.000079,0.030198,0.021545,0.019420,0.018405,0.020593,0.016976,0.005048,0.008757
-0.002369,0.001223,0.000026,-0.000245,0.000239,0.000264,-0.000001,-0.000140,0.029506,0.026275,0.018875,0.018298,0.018521,0.016370,0.005783,0.010608
